Province_State,Country_Region,Lat,Long,Month,TrendlineCoef,Cluster
Italy,Italy,41.87194,12.56738,3,3694.867431640625,3
Spain,Spain,40.463667,-3.74922,3,2934.499267578125,3
Germany,Germany,51.165691,10.451526,3,1898.1680908203125,2
France,France,46.2276,2.2137,3,1498.137939453125,2
Iran,Iran,32.427908,53.688046,3,1328.1649169921875,2
United Kingdom,United Kingdom,55.3781,-3.436,3,1093.83544921875,2
Switzerland,Switzerland,46.8182,8.2275,3,573.1653442382812,0
Netherlands,Netherlands,52.1326,5.2913,3,429.5854797363281,0
Belgium,Belgium,50.8333,4.469936,3,360.34918212890625,0
Turkey,Turkey,38.9637,35.2433,3,291.4165344238281,0
Austria,Austria,47.5162,14.5501,3,288.179443359375,0
Portugal,Portugal,39.3999,-8.2245,3,203.50120544433594,0
Norway,Norway,60.472,8.4689,3,161.11412048339844,0
"Korea, South","Korea, South",35.907757,127.766922,3,158.69435119628906,0
Brazil,Brazil,-14.235,-51.9253,3,158.11532592773438,0
Israel,Israel,31.046051,34.851612,3,153.26492309570312,0
Sweden,Sweden,60.128161,18.643501,3,148.03628540039062,0
Quebec,Canada,52.9399,-73.5491,3,124.05725860595703,0
Czechia,Czechia,49.8175,15.473,3,102.39596557617188,0
Ontario,Canada,51.2538,-85.3232,3,97.1500015258789,0
Ireland,Ireland,53.1424,-7.6921,3,96.30362701416016,0
Malaysia,Malaysia,4.210484,101.975766,3,94.94072723388672,0
Denmark,Denmark,56.2639,9.5018,3,92.67137145996094,0
Chile,Chile,-35.6751,-71.543,3,79.14798736572266,0
Luxembourg,Luxembourg,49.8153,6.1296,3,71.7725830078125,0
Ecuador,Ecuador,-1.8312,-78.1834,3,70.1008071899414,0
Pakistan,Pakistan,30.3753,69.3451,3,68.62217712402344,0
Poland,Poland,51.9194,19.1451,3,66.67539978027344,0
New South Wales,Australia,-33.8688,151.2093,3,62.68911361694336,0
Romania,Romania,45.9432,24.9668,3,61.535888671875,0
Finland,Finland,61.92411,25.748151,3,57.15604782104492,0
Japan,Japan,36.204824,138.252924,3,56.34677505493164,0
Russia,Russia,61.52401,105.318756,3,53.63750076293945,0
Thailand,Thailand,15.870032,100.992541,3,50.19395065307617,0
Saudi Arabia,Saudi Arabia,23.885942,45.079162,3,49.16411209106445,0
Philippines,Philippines,12.879721,121.774017,3,47.48709487915039,0
Indonesia,Indonesia,-0.7893,113.9213,3,47.33709716796875,0
South Africa,South Africa,-30.5595,22.9375,3,44.135887145996094,0
Greece,Greece,39.0742,21.8243,3,40.24113082885742,0
India,India,20.593684,78.96288,3,39.035484313964844,0
Iceland,Iceland,64.9631,-19.0208,3,38.357662200927734,0
British Columbia,Canada,53.7267,-127.6476,3,34.02016067504883,0
Mexico,Mexico,23.6345,-102.5528,3,34.00967788696289,0
Panama,Panama,8.538,-80.7821,3,31.68145179748535,0
Peru,Peru,-9.19,-75.0152,3,31.013710021972656,0
Dominican Republic,Dominican Republic,18.7357,-70.1627,3,28.216936111450195,0
Slovenia,Slovenia,46.1512,14.9955,3,28.141128540039062,0
Argentina,Argentina,-38.4161,-63.6167,3,27.446773529052734,0
Singapore,Singapore,1.2833,103.8333,3,27.416934967041016,0
US,US,40.0,-100.0,4,29337.75390625,0
France,France,46.2276,2.2137,4,5183.2509765625,2
United Kingdom,United Kingdom,55.3781,-3.436,4,4599.9677734375,2
Turkey,Turkey,38.9637,35.2433,4,3879.824462890625,2
Spain,Spain,40.463667,-3.74922,4,3775.167724609375,2
Russia,Russia,61.52401,105.318756,4,3593.376953125,2
Italy,Italy,41.87194,12.56738,4,3286.478759765625,2
Germany,Germany,51.165691,10.451526,4,3037.158447265625,2
Brazil,Brazil,-14.235,-51.9253,4,2528.12646484375,3
Iran,Iran,32.427908,53.688046,4,1562.239990234375,3
Belgium,Belgium,50.8333,4.469936,4,1240.7860107421875,3
Peru,Peru,-9.19,-75.0152,4,1176.80224609375,3
India,India,20.593684,78.96288,4,1138.826904296875,3
Netherlands,Netherlands,52.1326,5.2913,4,910.6729736328125,1
Quebec,Canada,52.9399,-73.5491,4,838.5654907226562,1
Ecuador,Ecuador,-1.8312,-78.1834,4,789.3550415039062,1
Saudi Arabia,Saudi Arabia,23.885942,45.079162,4,722.6425170898438,1
Ireland,Ireland,53.1424,-7.6921,4,658.3843994140625,1
Mexico,Mexico,23.6345,-102.5528,4,592.614013671875,1
Portugal,Portugal,39.3999,-8.2245,4,586.0031127929688,1
Singapore,Singapore,1.2833,103.8333,4,571.0302734375,1
Sweden,Sweden,60.128161,18.643501,4,556.4560546875,1
Ontario,Canada,51.2538,-85.3232,4,509.8558349609375,1
Pakistan,Pakistan,30.3753,69.3451,4,506.9288024902344,1
Chile,Chile,-35.6751,-71.543,4,485.4351501464844,1
Belarus,Belarus,53.7098,27.9534,4,470.44805908203125,1
Japan,Japan,36.204824,138.252924,4,443.87139892578125,1
Qatar,Qatar,25.3548,51.1839,4,414.2747497558594,1
United Arab Emirates,United Arab Emirates,23.424076,53.847818,4,404.10455322265625,1
Switzerland,Switzerland,46.8182,8.2275,4,380.15216064453125,1
Poland,Poland,51.9194,19.1451,4,357.2329406738281,1
Ukraine,Ukraine,48.3794,31.1656,4,343.69189453125,1
Romania,Romania,45.9432,24.9668,4,341.7101135253906,1
Israel,Israel,31.046051,34.851612,4,323.66717529296875,1
Indonesia,Indonesia,-0.7893,113.9213,4,306.5577392578125,1
